Player,Rookie year,"1,000 Yard Seasons"
Tavon Austin,2013,0
DeAndre Hopkins,2013,7
Cordarrelle Patterson,2013,0
Justin Hunter,2013,0
Robert Woods,2013,2
Aaron Dobson,2013,0
Terrance Williams,2013,0
Keenan Allen,2013,6
Marquise Goodwin,2013,0
Markus Wheaton,2013,0
Stedman Bailey,2013,0
Ace Sanders,2013,0
Josh Boyce,2013,0
Chris Harper,2013,0
Quinton Patton,2013,0
Denard Robinson,2013,0
Kenny Stills,2013,0
Tavarres King,2013,0
Corey Fuller,2013,0
Ryan Swope,2013,0
Justin Brown,2013,0
Alan Bonner,2013,0
Cobi Hamilton,2013,0
Brice Butler,2013,0
Charles Johnson,2013,0
Kevin Dorsey,2013,0
Marquess Wilson,2013,0
Aaron Mellette,2013,0
Sammy Watkins,2014,1
Mike Evans,2014,10
Odell Beckham Jr.,2014,5
Brandin Cooks,2014,6
Kelvin Benjamin,2014,1
Marqise Lee,2014,0
Jordan Matthews,2014,0
Paul Richardson,2014,0
Davante Adams,2014,5
Cody Latimer,2014,0
Allen Robinson,2014,3
Jarvis Landry,2014,3
Josh Huff,2014,0
Donte Moncrief,2014,0
John Brown,2014,2
Dri Archer,2014,0
Jalen Saunders,2014,0
Bruce Ellington,2014,0
Shaquelle Evans,2014,0
Martavis Bryant,2014,0
Kevin Norwood,2014,0
Ryan Grant,2014,0
Devin Street,2014,0
Jared Abbrederis,2014,0
Robert Herron,2014,0
T.J. Jones,2014,0
Matt Hazel,2014,0
Walt Powell,2014,0
Quincy Enunwa,2014,0
Michael Campanaro,2014,0
Jeff Janis,2014,0
James Wright,2014,0
Tevin Reese,2014,0
Jeremy Gallon,2014,0
Amari Cooper,2015,7
Kevin White,2015,0
DeVante Parker,2015,1
Nelson Agholor,2015,0
Breshad Perriman,2015,0
Phillip Dorsett,2015,0
Devin Smith,2015,0
Dorial Green-Beckham,2015,0
Tyler Lockett,2015,4
Jaelen Strong,2015,0
Chris Conley,2015,0
Sammie Coates,2015,0
Ty Montgomery,2015,0
Jamison Crowder,2015,0
Justin Hardy,2015,0
Vince Mayle,2015,0
DeAndre Smelter,2015,0
Rashad Greene,2015,0
Stefon Diggs,2015,6
Tony Lippett,2015,0
JJ Nelson,2015,0
Kenny Bell,2015,0
Keith Mumphery,2015,0
Kaelin Clay,2015,0
Geremy Davis,2015,0
Evan Spencer,2015,0
Bud Sasser,2015,0
Darren Waller,2015,2
Neal Sterling,2015,0
Andre Debose,2015,0
Da'Ron Brown,2015,0
Dezmin Lewis,2015,0
Mario Alford,2015,0
Tre McBride,2015,0
Corey Coleman,2016,0
Will Fuller,2016,0
Josh Doctson,2016,0
Laquon Treadwell,2016,0
Sterling Shepard,2016,0
Michael Thomas,2016,4
Tyler Boyd,2016,2
Braxton Miller,2016,0
Leonte Carroo,2016,0
Chris Moore,2016,0
Malcolm Mitchell,2016,0
Ricardo Louis,2016,0
Pharoh Cooper,2016,0
Demarcus Robinson,2016,0
Tajae Sharpe,2016,0
Jordan Payton,2016,0
Trevor Davis,2016,0
Tyreek Hill,2016,6
Rashard Higgins,2016,0
Moritz Boehringer,2016,0
Jakeem Grant,2016,0
Kolby Listenbee,2016,0
Cody Core,2016,0
Mike Thomas,2016,0
Aaron Burbridge,2016,0
Devin Lucien,2016,0
Demarcus Ayers,2016,0
Daniel Braverman,2016,0
Devin Fuller,2016,0
Charone Peake,2016,0
Kenny Lawler,2016,0
Corey Davis,2017,0
Mike Williams,2017,2
John Ross,2017,0
Zay Jones,2017,0
Curtis Samuel,2017,0
JuJu Smith-Schuster,2017,1
Cooper Kupp,2017,2
Taywan Taylor,2017,0
ArDarius Stewart,2017,0
Carlos Henderson,2017,0
Chris Godwin,2017,4
Kenny Golladay,2017,2
Chad Williams,2017,0
Amara Darboh,2017,0
Dede Westbrook,2017,0
Josh Reynolds,2017,0
Mack Hollins,2017,0
Josh Malone,2017,0
Ryan Switzer,2017,0
Jehu Chesson,2017,0
Chad Hansen,2017,0
Shelton Gibson,2017,0
Rodney Adams,2017,0
Isaiah McKenzie,2017,0
