Rnd,Pick,Tm,Player,Pos
1,1,CHI,Caleb Williams,QB
1,2,WAS,Jayden Daniels,QB
1,3,NWE,Drake Maye,QB
1,4,ARI,Marvin Harrison,WR
1,5,LAC,Joe Alt,OL
1,6,NYG,Malik Nabers,WR
1,7,TEN,JC Latham,OL
1,8,ATL,Michael Penix,QB
1,9,CHI,Rome Odunze,WR
1,10,MIN,J.J. McCarthy,QB
1,11,NYJ,Olumuyiwa Fashanu,OL
1,12,DEN,Bo Nix,QB
1,13,LVR,Brock Bowers,TE
1,14,NOR,Taliese Fuaga,OL
1,15,IND,Laiatu Latu,DL
1,16,SEA,Byron Murphy,DL
1,17,MIN,Dallas Turner,LB
1,18,CIN,Amarius Mims,OL
1,19,LAR,Jared Verse,DL
1,20,PIT,Troy Fautanu,OL
1,21,MIA,Chop Robinson,DE
1,22,PHI,Quinyon Mitchell,CB
1,23,JAX,Brian Thomas,WR
1,24,DET,Terrion Arnold,DB
1,25,GNB,Jordan Morgan,OL
1,26,TAM,Graham Barton,OL
1,27,ARI,Darius Robinson,DL
1,28,KAN,Xavier Worthy,WR
1,29,DAL,Tyler Guyton,OL
1,30,BAL,Nate Wiggins,CB
1,31,SFO,Ricky Pearsall,WR
1,32,CAR,Xavier Legette,WR
2,33,BUF,Keon Coleman,WR
2,34,LAC,Ladd McConkey,WR
2,35,ATL,Ruke Orhorhoro,DT
2,36,WAS,Jer'Zhan Newton,DL
2,37,NWE,Ja'Lynn Polk,WR
2,38,TEN,T'Vondre Sweat,DL
2,39,LAR,Braden Fiske,DL
2,40,PHI,Cooper DeJean,DB
2,41,NOR,Kool-Aid McKinstry,DB
2,42,HOU,Kamari Lassiter,DB
2,43,ARI,Max Melton,DB
2,44,LVR,Jackson Powers-Johnson,OL
2,45,GNB,Edgerrin Cooper,LB
2,46,CAR,Jonathon Brooks,RB
2,47,NYG,Tyler Nubin,DB
2,48,JAX,Maason Smith,DT
2,49,CIN,Kris Jenkins,DL
2,50,WAS,Mike Sainristil,DB
2,51,PIT,Zach Frazier,OL
2,52,IND,Adonai Mitchell,WR
2,53,WAS,Ben Sinnott,TE
2,54,CLE,Michael Hall,DT
2,55,MIA,Patrick Paul,OL
2,56,DAL,Marshawn Kneeland,DL
2,57,TAM,Chris Braswell,LB
2,58,GNB,Javon Bullard,DB
2,59,HOU,Blake Fisher,OL
2,60,BUF,Cole Bishop,SAF
2,61,DET,Ennis Rakestraw,DB
2,62,BAL,Roger Rosengarten,OL
2,63,KAN,Kingsley Suamataia,OL
2,64,SFO,Renardo Green,DB
3,65,NYJ,Malachi Corley,WR
3,66,ARI,Trey Benson,RB
3,67,WAS,Brandon Coleman,OL
3,68,NWE,Caedan Wallace,OL
3,69,LAC,Junior Colson,LB
3,70,NYG,Andru Phillips,DB
3,71,ARI,Isaiah Adams,OL
3,72,CAR,Trevin Wallace,LB
3,73,DAL,Cooper Beebe,OL
3,74,ATL,Bralen Trice,DE
3,75,CHI,Kiran Amegadjie,OL
3,76,DEN,Jonah Elliss,DE
3,77,LVR,Delmar Glaze,OL
3,78,HOU,Calen Bullock,SAF
3,79,IND,Matt Goncalves,OL
3,80,CIN,Jermaine Burton,WR
3,81,SEA,Christian Haynes,OL
3,82,ARI,Tip Reiman,TE
