,Rnd,Player,Age,Rookie Year,avg_depth_of_target,avoided_tackles,caught_percent,grades_offense,longest,receptions,routes,targeted_qb_rating,targets,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,ypt
0,1,Jaxon Smith-Njigba,21,2023,6.4,6.0,70.0,63.3,35.0,63.0,477.0,95.0,90.0,628.0,370.0,5.9,10.0,1.32,6.977777777777778
1,1,Quentin Johnston,22,2023,13.0,5.0,58.5,58.9,57.0,38.0,488.0,82.3,65.0,431.0,152.0,4.0,11.3,0.88,6.630769230769231
2,1,Zay Flowers,22,2023,8.8,19.0,74.0,75.6,75.0,77.0,522.0,110.2,104.0,858.0,396.0,5.1,11.1,1.64,8.25
3,1,Jordan Addison,21,2023,12.5,5.0,67.3,68.6,62.0,70.0,606.0,98.7,104.0,911.0,267.0,3.8,13.0,1.5,8.759615384615385
4,2,Jonathan Mingo,22,2023,10.6,5.0,51.8,54.7,40.0,43.0,539.0,56.2,83.0,418.0,161.0,3.7,9.7,0.78,5.036144578313253
5,2,Jayden Reed,23,2023,10.3,6.0,71.1,75.1,59.0,64.0,387.0,123.1,90.0,793.0,348.0,5.4,12.4,2.05,8.811111111111112
6,2,Rashee Rice,23,2023,5.2,12.0,79.0,85.0,67.0,79.0,392.0,124.9,100.0,938.0,656.0,8.3,11.9,2.39,9.38
8,3,Tank Dell,23,2023,14.4,3.0,63.5,83.4,68.0,47.0,320.0,115.2,74.0,709.0,145.0,3.1,15.1,2.22,9.58108108108108
9,3,Jalin Hyatt,21,2023,20.7,1.0,57.5,59.7,58.0,23.0,388.0,68.0,40.0,373.0,53.0,2.3,16.2,0.96,9.325
10,3,Cedric Tillman,23,2023,12.2,4.0,50.0,55.5,23.0,21.0,358.0,26.4,42.0,224.0,67.0,3.2,10.7,0.63,5.333333333333333
11,3,Josh Downs,22,2023,7.4,9.0,72.3,70.3,59.0,68.0,483.0,99.2,94.0,771.0,374.0,5.5,11.3,1.6,8.202127659574469
12,3,Michael Wilson,23,2023,14.1,6.0,64.4,68.3,69.0,38.0,415.0,98.5,59.0,565.0,143.0,3.8,14.9,1.36,9.576271186440678
13,3,Tre Tucker,22,2023,19.2,1.0,55.9,65.2,50.0,19.0,224.0,84.3,34.0,331.0,27.0,1.4,17.4,1.48,9.735294117647058
14,4,Derius Davis,22,2023,-2.1,3.0,88.2,60.5,18.0,15.0,73.0,82.8,17.0,66.0,114.0,7.6,4.4,0.9,3.8823529411764706
15,4,Charlie Jones,24,2023,8.8,0.0,77.8,65.8,35.0,7.0,30.0,96.3,9.0,64.0,34.0,4.9,9.1,2.13,7.111111111111111
16,4,Tyler Scott,21,2023,12.5,1.0,54.8,52.7,30.0,17.0,257.0,56.9,31.0,168.0,65.0,3.8,9.9,0.65,5.419354838709677
18,5,Dontayvion Wicks,22,2023,10.6,9.0,68.4,78.4,35.0,39.0,285.0,117.6,57.0,580.0,218.0,5.6,14.9,2.04,10.175438596491228
19,5,Puka Nacua,22,2023,9.4,11.0,68.6,87.9,80.0,105.0,574.0,104.6,153.0,1486.0,627.0,6.0,14.2,2.59,9.712418300653594
20,6,Parker Washington,21,2023,7.9,2.0,84.2,51.1,19.0,16.0,177.0,130.7,19.0,132.0,38.0,2.4,8.3,0.75,6.947368421052632
21,6,Kayshon Boutte,21,2023,19.1,0.0,28.6,47.1,11.0,2.0,83.0,39.6,7.0,19.0,10.0,5.0,9.5,0.23,2.7142857142857144
22,6,Trey Palmer,22,2023,11.2,1.0,59.1,51.3,54.0,39.0,459.0,84.5,66.0,385.0,113.0,2.9,9.9,0.84,5.833333333333333
23,6,A.T. Perry,23,2023,17.3,0.0,66.7,61.0,44.0,12.0,208.0,149.3,18.0,246.0,19.0,1.6,20.5,1.18,13.666666666666666
24,6,Elijah Higgins,22,2023,7.4,0.0,82.4,63.6,26.0,14.0,91.0,126.2,17.0,163.0,71.0,5.1,11.6,1.79,9.588235294117647
25,6,Xavier Hutchinson,23,2023,12.2,0.0,44.4,46.9,34.0,8.0,170.0,60.0,18.0,90.0,17.0,2.1,11.3,0.53,5.0
26,6,Andrei Iosivas,23,2023,9.4,0.0,60.0,61.2,16.0,15.0,152.0,94.3,25.0,116.0,34.0,2.3,7.7,0.76,4.64
27,6,Demario Douglas,22,2023,8.0,12.0,64.5,74.4,42.0,49.0,330.0,70.1,76.0,561.0,343.0,7.0,11.4,1.7,7.381578947368421
28,7,Antoine Green,23,2023,6.0,0.0,50.0,53.7,2.0,1.0,55.0,56.3,2.0,2.0,1.0,1.0,2.0,0.04,1.0
29,7,Colton Dowell,24,2023,20.5,0.0,50.0,54.4,3.0,1.0,17.0,16.7,2.0,3.0,1.0,1.0,3.0,0.18,1.5
30,7,Jalen Brooks,23,2023,5.7,0.0,100.0,65.1,24.0,6.0,33.0,111.1,6.0,64.0,30.0,5.0,10.7,1.94,10.666666666666666
31,7,Ronnie Bell,23,2023,12.6,0.0,46.2,61.1,20.0,6.0,78.0,101.9,13.0,68.0,11.0,1.8,11.3,0.87,5.230769230769231
