,Rnd,Player,Age,Rookie Year,avg_depth_of_target,avoided_tackles,caught_percent,grades_offense,longest,receptions,routes,targeted_qb_rating,targets,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,ypt,Rookie year,"1,000 Yard Seasons"
0,1.0,Drake London,21.0,2022,11.2,8.0,63.2,83.2,40.0,72.0,419.0,87.1,114.0,866.0,231.0,3.2,12.0,2.07,7.5964912280701755,2022,0
1,1.0,Garrett Wilson,22.0,2022,11.0,22.0,59.7,82.7,60.0,83.0,595.0,91.5,139.0,1103.0,389.0,4.7,13.3,1.85,7.9352517985611515,2022,2
2,1.0,Chris Olave,22.0,2022,14.9,2.0,63.2,82.5,53.0,72.0,431.0,86.3,114.0,1044.0,219.0,3.0,14.5,2.42,9.157894736842104,2022,2
3,1.0,Jameson Williams,21.0,2022,19.3,0.0,12.5,63.4,41.0,1.0,37.0,88.0,8.0,41.0,5.0,5.0,41.0,1.11,5.125,2022,0
4,1.0,Jahan Dotson,22.0,2022,15.4,2.0,62.5,70.5,61.0,35.0,376.0,102.9,56.0,523.0,144.0,4.1,14.9,1.39,9.339285714285714,2022,0
5,1.0,Treylon Burks,22.0,2022,12.4,4.0,62.3,74.1,51.0,33.0,254.0,70.0,53.0,444.0,177.0,5.4,13.5,1.75,8.377358490566039,2022,0
6,2.0,Christian Watson,23.0,2022,14.3,4.0,63.1,77.1,63.0,41.0,270.0,123.3,65.0,611.0,264.0,6.4,14.9,2.26,9.4,2022,0
7,2.0,Wan'Dale Robinson,21.0,2022,6.1,3.0,76.7,72.0,19.0,23.0,129.0,108.6,30.0,227.0,127.0,5.5,9.9,1.76,7.566666666666666,2022,0
8,2.0,Tyquan Thornton,22.0,2022,14.9,1.0,51.2,55.2,29.0,22.0,326.0,64.8,43.0,247.0,66.0,3.0,11.2,0.76,5.744186046511628,2022,0
9,2.0,George Pickens,21.0,2022,15.6,7.0,61.9,68.8,42.0,52.0,580.0,109.3,84.0,801.0,110.0,2.1,15.4,1.38,9.535714285714286,2022,1
10,2.0,Alec Pierce,22.0,2022,12.2,3.0,53.9,61.3,47.0,41.0,478.0,77.4,76.0,593.0,111.0,2.7,14.5,1.24,7.802631578947368,2022,0
11,2.0,Skyy Moore,21.0,2022,8.8,7.0,68.8,70.9,30.0,22.0,167.0,52.9,32.0,250.0,146.0,6.6,11.4,1.5,7.8125,2022,0
12,3.0,Velus Jones Jr.,25.0,2022,19.2,0.0,58.3,64.9,44.0,7.0,71.0,115.6,12.0,107.0,42.0,6.0,15.3,1.51,8.916666666666666,2022,0
13,3.0,Jalen Tolbert,23.0,2022,15.7,0.0,66.7,48.7,8.0,2.0,40.0,74.3,3.0,12.0,0.0,0.0,6.0,0.3,4.0,2022,0
14,3.0,David Bell,21.0,2022,6.6,2.0,75.0,52.5,20.0,24.0,305.0,53.4,32.0,214.0,74.0,3.1,8.9,0.7,6.6875,2022,0
15,3.0,Danny Gray,23.0,2022,24.5,0.0,16.7,53.8,10.0,1.0,29.0,39.6,6.0,10.0,4.0,4.0,10.0,0.34,1.6666666666666667,2022,0
16,4.0,Erik Ezukanma,22.0,2022,-4.0,0.0,100.0,59.7,3.0,1.0,3.0,79.2,1.0,3.0,7.0,7.0,3.0,1.0,3.0,2022,0
17,4.0,Romeo Doubs,22.0,2022,9.8,1.0,65.6,62.6,26.0,42.0,312.0,100.1,64.0,425.0,194.0,4.6,10.1,1.36,6.640625,2022,0
18,5.0,Khalil Shakir,22.0,2022,12.0,0.0,58.8,62.4,31.0,10.0,141.0,110.2,17.0,161.0,75.0,7.5,16.1,1.14,9.470588235294118,2022,0
19,5.0,Montrell Washington,23.0,2022,18.6,1.0,40.0,56.6,4.0,4.0,52.0,47.9,10.0,2.0,14.0,3.5,0.5,0.04,0.2,2022,0
20,5.0,Kyle Philips,23.0,2022,7.8,0.0,61.5,63.7,21.0,8.0,48.0,78.4,13.0,78.0,19.0,2.4,9.8,1.63,6.0,2022,0
21,6.0,Jalen Nailor,23.0,2022,12.4,1.0,75.0,91.6,47.0,9.0,31.0,109.7,12.0,179.0,68.0,7.6,19.9,5.77,14.916666666666666,2022,0
22,6.0,Michael Woods II,22.0,2022,17.7,0.0,50.0,53.5,15.0,5.0,93.0,22.9,10.0,45.0,16.0,3.2,9.0,0.48,4.5,2022,0
23,7.0,Dareke Young,23.0,2022,0.0,1.0,100.0,58.9,12.0,2.0,31.0,116.7,2.0,24.0,24.0,12.0,12.0,0.77,12.0,2022,0
24,7.0,Samori Toure,24.0,2022,19.8,1.0,55.6,49.3,37.0,5.0,80.0,123.4,9.0,82.0,10.0,2.0,16.4,1.03,9.11111111111111,2022,0
25,1.0,Ja'Marr Chase,21.0,2021,13.6,19.0,65.9,83.1,82.0,81.0,579.0,121.2,123.0,1455.0,657.0,8.1,18.0,2.51,11.829268292682928,2021,3
26,1.0,Jaylen Waddle,22.0,2021,7.0,11.0,75.4,78.3,57.0,104.0,579.0,91.9,138.0,1015.0,455.0,4.4,9.8,1.75,7.355072463768116,2021,3
27,1.0,DeVonta Smith,22.0,2021,15.2,6.0,63.4,77.2,46.0,64.0,517.0,105.1,101.0,916.0,208.0,3.3,14.3,1.77,9.069306930693068,2021,2
28,1.0,Kadarius Toney,22.0,2021,6.5,12.0,73.6,72.8,38.0,39.0,196.0,88.6,53.0,420.0,234.0,6.0,10.8,2.14,7.9245283018867925,2021,0
29,1.0,Rashod Bateman,21.0,2021,9.6,2.0,70.8,64.9,36.0,46.0,409.0,80.0,65.0,515.0,168.0,3.7,11.2,1.26,7.923076923076923,2021,0
30,2.0,Elijah Moore,21.0,2021,12.4,5.0,58.1,71.2,62.0,43.0,308.0,80.8,74.0,538.0,204.0,4.7,12.5,1.75,7.27027027027027,2021,0
31,2.0,Rondale Moore,21.0,2021,1.2,13.0,84.4,71.2,77.0,54.0,265.0,87.2,64.0,435.0,446.0,8.3,8.1,1.64,6.796875,2021,0
32,2.0,D'Wayne Eskridge,24.0,2021,14.0,1.0,52.6,58.3,17.0,10.0,108.0,77.5,19.0,64.0,32.0,3.2,6.4,0.59,3.3684210526315788,2021,0
33,2.0,Terrace Marshall Jr.,21.0,2021,6.7,1.0,58.6,53.3,23.0,17.0,277.0,42.0,29.0,138.0,65.0,3.8,8.1,0.5,4.758620689655173,2021,0
34,3.0,Dyami Brown,21.0,2021,15.5,1.0,50.0,55.5,48.0,12.0,201.0,72.4,24.0,165.0,37.0,3.1,13.8,0.82,6.875,2021,0
