,Player,avoided_tackles,grades_offense,longest,receptions,routes,targets,yards,yards_after_catch,yprr,ypt,"1,000 Yard Seasons"
0,Drake London,8.0,83.2,40.0,72.0,419.0,114.0,866.0,231.0,2.07,7.596491228070175,0
1,Garrett Wilson,22.0,82.7,60.0,83.0,595.0,139.0,1103.0,389.0,1.85,7.935251798561151,2
2,Chris Olave,2.0,82.5,53.0,72.0,431.0,114.0,1044.0,219.0,2.42,9.157894736842104,2
3,Jameson Williams,0.0,63.4,41.0,1.0,37.0,8.0,41.0,5.0,1.11,5.125,0
4,Jahan Dotson,2.0,70.5,61.0,35.0,376.0,56.0,523.0,144.0,1.39,9.339285714285714,0
5,Treylon Burks,4.0,74.1,51.0,33.0,254.0,53.0,444.0,177.0,1.75,8.377358490566039,0
6,Christian Watson,4.0,77.1,63.0,41.0,270.0,65.0,611.0,264.0,2.26,9.4,0
7,Wan'Dale Robinson,3.0,72.0,19.0,23.0,129.0,30.0,227.0,127.0,1.76,7.566666666666666,0
8,Tyquan Thornton,1.0,55.2,29.0,22.0,326.0,43.0,247.0,66.0,0.76,5.744186046511628,0
9,George Pickens,7.0,68.8,42.0,52.0,580.0,84.0,801.0,110.0,1.38,9.535714285714286,1
10,Alec Pierce,3.0,61.3,47.0,41.0,478.0,76.0,593.0,111.0,1.24,7.802631578947368,0
11,Skyy Moore,7.0,70.9,30.0,22.0,167.0,32.0,250.0,146.0,1.5,7.8125,0
12,Velus Jones Jr.,0.0,64.9,44.0,7.0,71.0,12.0,107.0,42.0,1.51,8.916666666666666,0
13,Jalen Tolbert,0.0,48.7,8.0,2.0,40.0,3.0,12.0,0.0,0.3,4.0,0
14,David Bell,2.0,52.5,20.0,24.0,305.0,32.0,214.0,74.0,0.7,6.6875,0
15,Danny Gray,0.0,53.8,10.0,1.0,29.0,6.0,10.0,4.0,0.34,1.6666666666666667,0
16,Erik Ezukanma,0.0,59.7,3.0,1.0,3.0,1.0,3.0,7.0,1.0,3.0,0
17,Romeo Doubs,1.0,62.6,26.0,42.0,312.0,64.0,425.0,194.0,1.36,6.640625,0
18,Khalil Shakir,0.0,62.4,31.0,10.0,141.0,17.0,161.0,75.0,1.14,9.470588235294118,0
19,Montrell Washington,1.0,56.6,4.0,4.0,52.0,10.0,2.0,14.0,0.04,0.2,0
20,Kyle Philips,0.0,63.7,21.0,8.0,48.0,13.0,78.0,19.0,1.63,6.0,0
21,Jalen Nailor,1.0,91.6,47.0,9.0,31.0,12.0,179.0,68.0,5.77,14.916666666666666,0
22,Michael Woods II,0.0,53.5,15.0,5.0,93.0,10.0,45.0,16.0,0.48,4.5,0
23,Dareke Young,1.0,58.9,12.0,2.0,31.0,2.0,24.0,24.0,0.77,12.0,0
24,Samori Toure,1.0,49.3,37.0,5.0,80.0,9.0,82.0,10.0,1.03,9.11111111111111,0
25,Ja'Marr Chase,19.0,83.1,82.0,81.0,579.0,123.0,1455.0,657.0,2.51,11.829268292682928,3
26,Jaylen Waddle,11.0,78.3,57.0,104.0,579.0,138.0,1015.0,455.0,1.75,7.355072463768116,3
27,DeVonta Smith,6.0,77.2,46.0,64.0,517.0,101.0,916.0,208.0,1.77,9.069306930693068,2
28,Kadarius Toney,12.0,72.8,38.0,39.0,196.0,53.0,420.0,234.0,2.14,7.924528301886792,0
29,Rashod Bateman,2.0,64.9,36.0,46.0,409.0,65.0,515.0,168.0,1.26,7.923076923076923,0
30,Elijah Moore,5.0,71.2,62.0,43.0,308.0,74.0,538.0,204.0,1.75,7.27027027027027,0
31,Rondale Moore,13.0,71.2,77.0,54.0,265.0,64.0,435.0,446.0,1.64,6.796875,0
32,D'Wayne Eskridge,1.0,58.3,17.0,10.0,108.0,19.0,64.0,32.0,0.59,3.3684210526315788,0
33,Terrace Marshall Jr.,1.0,53.3,23.0,17.0,277.0,29.0,138.0,65.0,0.5,4.758620689655173,0
34,Dyami Brown,1.0,55.5,48.0,12.0,201.0,24.0,165.0,37.0,0.82,6.875,0
35,Amari Rodgers,1.0,60.6,19.0,4.0,41.0,8.0,45.0,25.0,1.1,5.625,0
36,Nico Collins,1.0,65.6,32.0,33.0,361.0,59.0,446.0,123.0,1.24,7.559322033898305,1
37,Anthony Schwartz,0.0,57.4,44.0,10.0,164.0,22.0,135.0,12.0,0.82,6.136363636363637,0
38,Dez Fitzpatrick,0.0,64.7,18.0,5.0,59.0,8.0,49.0,5.0,0.83,6.125,0
39,Amon-Ra St. Brown,8.0,79.4,37.0,90.0,523.0,115.0,912.0,430.0,1.74,7.930434782608696,2
40,Jaelon Darden,0.0,52.1,29.0,6.0,59.0,12.0,43.0,24.0,0.73,3.583333333333333,0
41,Tylan Wallace,2.0,55.5,18.0,2.0,55.0,5.0,23.0,13.0,0.42,4.6,0
42,Ihmir Smith-Marsette,0.0,64.3,44.0,5.0,67.0,6.0,116.0,17.0,1.73,19.33333333333333,0
43,Frank Darby,2.0,74.0,14.0,1.0,12.0,4.0,14.0,12.0,1.17,3.5,0
44,Shi Smith,1.0,61.4,63.0,6.0,64.0,9.0,104.0,69.0,1.63,11.555555555555555,0
45,Racey McMath,0.0,48.8,9.0,2.0,46.0,5.0,8.0,9.0,0.17,1.6,0
46,Seth Williams,0.0,54.3,34.0,1.0,27.0,1.0,34.0,3.0,1.26,34.0,0
47,Dazz Newsome,1.0,48.1,13.0,2.0,63.0,4.0,23.0,16.0,0.37,5.75,0
48,Mike Strachan,0.0,61.7,16.0,2.0,38.0,3.0,26.0,0.0,0.68,8.666666666666666,0
49,Ben Skowronek,1.0,57.2,35.0,11.0,97.0,19.0,133.0,53.0,1.37,7.0,0
50,Dax Milne,0.0,57.8,22.0,9.0,89.0,13.0,83.0,39.0,0.93,6.384615384615385,0
51,Henry Ruggs III,2.0,54.0,72.0,26.0,343.0,43.0,452.0,148.0,1.32,10.511627906976743,0
52,Jerry Jeudy,9.0,65.2,92.0,52.0,515.0,110.0,856.0,260.0,1.66,7.781818181818182,0
53,CeeDee Lamb,6.0,71.6,52.0,74.0,516.0,109.0,935.0,312.0,1.81,8.577981651376147,3
54,Jalen Reagor,5.0,64.0,55.0,31.0,304.0,53.0,396.0,175.0,1.3,7.471698113207547,0
55,Justin Jefferson,13.0,90.4,71.0,88.0,526.0,121.0,1400.0,450.0,2.66,11.570247933884298,4
56,Brandon Aiyuk,9.0,80.1,49.0,60.0,432.0,93.0,748.0,286.0,1.73,8.043010752688172,2
57,Tee Higgins,6.0,75.9,67.0,67.0,496.0,105.0,908.0,304.0,1.83,8.647619047619047,2
58,Michael Pittman Jr.,4.0,62.6,45.0,40.0,367.0,57.0,503.0,279.0,1.37,8.824561403508772,2
59,Laviska Shenault Jr.,16.0,71.5,36.0,58.0,388.0,77.0,600.0,300.0,1.55,7.792207792207792,0
60,KJ Hamler,5.0,55.9,49.0,30.0,326.0,54.0,381.0,123.0,1.17,7.055555555555555,0
61,Chase Claypool,9.0,75.6,84.0,62.0,437.0,103.0,873.0,333.0,2.0,8.475728155339805,0
62,Van Jefferson,2.0,67.1,31.0,19.0,154.0,28.0,220.0,49.0,1.43,7.857142857142857,0
63,Denzel Mims,4.0,69.4,30.0,23.0,247.0,41.0,357.0,102.0,1.45,8.707317073170731,0
64,Bryan Edwards,4.0,69.5,34.0,11.0,137.0,14.0,193.0,77.0,1.41,13.785714285714286,0
65,Devin Duvernay,4.0,60.5,39.0,20.0,193.0,25.0,201.0,118.0,1.04,8.04,0
66,Antonio Gandy-Golden,0.0,44.6,3.0,1.0,83.0,7.0,3.0,1.0,0.04,0.4285714285714285,0
67,Tyler Johnson,3.0,58.9,35.0,12.0,162.0,16.0,169.0,73.0,1.04,10.5625,0
68,Collin Johnson,2.0,73.4,46.0,18.0,170.0,30.0,272.0,64.0,1.6,9.066666666666666,0
69,Quintez Cephus,1.0,64.8,49.0,20.0,216.0,32.0,349.0,82.0,1.62,10.90625,0
70,John Hightower,1.0,50.5,59.0,10.0,231.0,29.0,167.0,60.0,0.72,5.758620689655173,0
71,Darnell Mooney,17.0,68.7,53.0,61.0,524.0,94.0,631.0,273.0,1.2,6.712765957446808,0
72,Donovan Peoples-Jones,1.0,71.8,75.0,14.0,130.0,20.0,304.0,80.0,2.34,15.2,0
73,Quez Watkins,1.0,61.1,43.0,7.0,80.0,12.0,106.0,57.0,1.33,8.833333333333334,0
74,Freddie Swain,0.0,53.4,23.0,13.0,223.0,19.0,159.0,101.0,0.71,8.368421052631579,0
